Pick the role that best describes you,Where you are primarily based,Which wallet(s) you use most often,How long you have been actively involved with Ethereum,How often you interact with Ethereum,What you primarily use Ethereum for,"How confident you feel using wallets, signing, and using dapps",Which statements match your typical behavior,What does privacy mean to you?,Your main reasons for using privacy tools.,"Have you used any privacy tools (e.g. VPNs, encrypted email/messenger) before?","Have you used any onchain privacy tools (e.g. Tornado Cash, Railgun, Zcash) before?",How important transaction privacy is to you when using Ethereum,Your overall satisfaction with the current level of privacy available on Ethereum today,How confident you are what is private and what is not when using privacy on Ethereum,How confident you are that what is private will remain private in the future,Your trust in the tools or methods you use for privacy on Ethereum,Which factors most influence your trust in using privacy tools,Which in-app signals would help you feel more confident and safe,How often you use each category of privacy tools | Mixers or privacy pools,How often you use each category of privacy tools | Shielded pools or transactions,How often you use each category of privacy tools | Stealth or one-time addresses,How often you use each category of privacy tools | ZK identity or selective disclosure proofs,How often you use each category of privacy tools | Private or anonymous voting,How often you use each category of privacy tools | Private relayers or paymasters,How often you use each category of privacy tools | Private mempools or MEV-protected order flows,How often you use each category of privacy tools | Private L2/rollups focused on privacy,How often you use each category of privacy tools | Private read mode or custom/private RPCs,Which onchain privacy tools do you use most (be specific),How often you use other privacy tools | VPN,How often you use other privacy tools | Tor,How often you use other privacy tools | Encrypted messaging (e.g. Signal),How often you use other privacy tools | Password manager,How often you use other privacy tools | Hardware security key (e.g. YubiKey),How often you use other privacy tools | Private or hardened browser profile,How often you use other privacy tools | Ad/tracker blockers,How often you use other privacy tools | Email aliases or burner emails,How often you use other privacy tools | Encrypted storage,How often you use other privacy tools | Encrypted DNS,What stops you most from using privacy tools today,What stops you most from using privacy tools today,Have you ever abandoned a privacy app before using or finishing the flow?,"If yes, why?",What your biggest risks are when transacting on Ethereum,Which trade-offs are acceptable for you when using privacy features,Where you would expect to turn on privacy,"Do you prefer transparency by default with an option to go private, or privacy by default with an option to share",How important is it that your main wallet includes clear privacy controls,How likely are you to switch if another wallet offers clearly better privacy,Which of these would help you use privacy tools more,Which of these would help you use privacy tools more,"What’s one thing you’d change, fix, or add to increase adoption of privacy on Ethereum",What privacy use cases or projects are you most excited about?,Any other feedback you like to share
Developer,South America,"MetaMask,Gnosis Safe",3-5 years,Weekly,"Finance, payments and transfers,DeFi, lending, swaps, or staking,Education and learning",Very confident,"I rely on wallet security alerts and blocklists,I review token approvals and revoke them regularly,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I use a hardware wallet as my primary signer",Privacy in Ethereum means being able to transact/interact on-chain without anybody (besides the party I am interacting with) been able to see my data,"Avoid profiling, doxxing, or unwanted linking,Avoid censorship and keep freedom to transact,Donate or support causes without exposure",Yes,Yes,Important,Somewhat satisfied,Somewhat confident,Somewhat confident,Trust,"Logical in-app UX with info and context,Clear docs on how it works, architecture, and trade-offs,Open-source code","Onboarding with in-app documentation and tips,Transaction preview or simulation before sending,Trusted badge or reputation labels",Never,Never,Rarely,Monthly,Monthly,Never,Weekly,Rarely,Never,Fluidkey,Never,Never,Weekly,Monthly,Monthly,Weekly,Weekly,Never,Weekly,Never,"Complex or hard to use,Regulatory or policy uncertainty,Hard to verify what is private",,Sometimes,"Unclear what it would do,Unsure the tool was safe or trustworthy","Losing funds or access,Government or big-tech surveillance and misuse of data,Contract exploits or protocol hacks","2–3 extra confirmations or screens,Signing multiple transactions,Switching to a different network or L2","I do not care where, I just want it to work","Public by default, option to go private",Very important,Likely,"Private send in wallets,Selective disclosure proofs,Verifiable in-App privacy labels, audits, and reputation badges",,Better documentation and explanations. Also I think it is important to have more people using privacy tools so the anonymity set is larger,"Railgun, Nullmask, WORM (EIP-7503)",No :)
Product,North America,"MetaMask,Gnosis Safe,Other",6-8 years,Monthly,"Finance, payments and transfers,DeFi, lending, swaps, or staking,Socials, Farcaster, Lens, etc.",Somewhat confident,"I rely on wallet security alerts and blocklists,I review gas, nonce, and permissions before confirming,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I use a multisig or smart account",Essential at the least; fun at its best.,"Personal safety and security,Keep balances, income, or holdings confidential,Avoid censorship and keep freedom to transact",Yes,Yes,Very important,Somewhat satisfied,Very confident,Not at all confident,Some trust,"Clear docs on how it works, architecture, and trade-offs,Open-source code,Strong security practices: active bug bounties, and policies","Clear instructions and confirmation prompts,Simple explanation of risks, leaks and trade-offs,Transaction preview or simulation before sending",Weekly,Weekly,Monthly,Monthly,Rarely,Rarely,Monthly,Weekly,Weekly,Payy,Daily,Rarely,Daily,Daily,Daily,Daily,Daily,Daily,Weekly,Daily,"High gas or transaction costs,Security concerns,Doesn’t work the same across apps or chains",,Rarely,"Fees or deposits required up front,Unsure the tool was safe or trustworthy,Took too long or got stuck","Targeted attacks, scams, or phishing,Physical targeting or extortion risk,Contract exploits or protocol hacks","Wait up to a few minutes longer,2–3 extra confirmations or screens,Using a separate wallet or account",In my wallet,"Private by default, option to share",Very important,Very likely,"Private stablecoins,Private L2s focused on privacy,Other",Stronger security guarantees,UX,"Aztec, Payy, Hopr, Tor, ZKPassport, Signal",Thank you for hosting the survey! Great if PSE could tally and share results publicly after it wraps.
Security,North America,"MetaMask,Rabby,Other",3-5 years,Weekly,"Socials, Farcaster, Lens, etc.,Donations, charities and public goods,Running nodes or infrastructure",Very confident,"I simulate or dry run transactions before sending,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I use a hardware wallet as my primary signer,I connect through my own node or a custom RPC","I get to control who learns what information about me and my past/, present, and future activity.","Personal safety and security,Avoid profiling, doxxing, or unwanted linking,Reduce data trails across apps and services",Yes,Yes,Very important,Not at all satisfied,Very confident,Somewhat confident,Trust,"Clear docs on how it works, architecture, and trade-offs,Widely used in production and time-tested,Open-source code","Simple explanation of risks, leaks and trade-offs,Linked audits or a security page,Proofs or logs you can copy or share if you need to prove something later",Monthly,Weekly,Rarely,Rarely,Rarely,Never,Weekly,Never,Rarely,I've used Zcash more than I've ever used any Ethereum-specific tool. Ethereum tools are still lagging behind in terms of integration and convenience. Zcash wallets have shielded pools as their default UX path.,Daily,Daily,Daily,Daily,Weekly,Daily,Daily,Daily,Daily,Daily,"Missing in my wallet or favorite dapps,Doesn’t work the same across apps or chains,Other","Tracking for tax purposes. I use a custom script to track my activity and create tax reports to pay my yearly taxes, including things like treating each ETH transaction fee as a sale event. This script relies on public chain data. Making all this activity private creates a very large personal accounting and tracking burden that can no longer be as automated.",Often,Needed new wallet/account or setup I didn’t want,"Deanonymization later by chain analysis,Metadata leakage (IP, RPC, browser, mempool),Permanent onchain records that cannot be undone","Pay up to ~5% more in fees,Wait up to a few minutes longer,Fixed deposit/withdrawal sizes","I do not care where, I just want it to work","Private by default, option to share",Very important,Very likely,"Private send in wallets,Private messaging,Privacy-preserving RPC and network routing",,"There is a huge UX challenge ahead of breaking the UX assumption that one account = one Ethereum address. This breaks the way dapps, wallets, and users all think about Ethereum. It feels impossible to fix, yet it is required regardless of which privacy solution ends up winning (whether pool-based or stealth-address-based). I think this really needs some fleshing out and I don't see current privacy solutions really paying enough attention to this problem relative to how large and inevitably-in-the-way it seems to be in my view.","Kohaku, making it easy for wallets to actually integrate.",I really appreciate that the Ethereum Foundation is looking at privacy seriously!
Security,Oceania,Other,6-8 years,Weekly,"Finance, payments and transfers,Identity, like ENS, Passports, etc.",Very confident,"I review gas, nonce, and permissions before confirming,I avoid linking social profiles to my active addresses,I use a hardware wallet as my primary signer,I rotate addresses or refresh accounts periodically","A means to an end for achieving agency over my data for important digital services such as finance, identity, and messaging.","Keep balances, income, or holdings confidential,Avoid censorship and keep freedom to transact,Reduce data trails across apps and services",Yes,Yes,Very important,Not at all satisfied,Very confident,Not at all confident,Some trust,"Clear docs on how it works, architecture, and trade-offs,Open-source code,Strong security practices: active bug bounties, and policies",,Rarely,Weekly,Never,Never,Never,Rarely,Weekly,Rarely,Weekly,"ZEC, but I don't transact on chain because offchain systems are currently more private and usable at this point. There's too many sharp edges to do things on chain right now and chainalysis still is a massive data broker sitting in the middle of all this and reselling all this data to governments and businesses.",Daily,Rarely,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,"High gas or transaction costs,Missing in my wallet or favorite dapps,Doesn’t work the same across apps or chains",,Often,"Too many steps or signatures,Fees or deposits required up front,Needed new wallet/account or setup I didn’t want","Deanonymization later by chain analysis,Permanent onchain records that cannot be undone,Contract exploits or protocol hacks",,On Ethereum itself,"Private by default, option to share",Very important,Very likely,"Private stablecoins,Privacy-preserving RPC and network routing",,"wallets act as an abstraction layer to make it easier for Web2 apps to add support for Web3 functionality like cheaper, more private, and more permissionless payment rails","private transactions that just work. I don't want to care about what coin I'm transacting in, what network it's on, and I want it cheaper than Visa and Mastercard (so not % based fees, but instead market based like gas currently)",I didn't answer 28 because I don't want to compromise anything for this to work. We're trying to export a payment rails that competes against Visa and Mastercard so we can't compromise to beat them.
Marketing or Growth,Europe,"MetaMask,Rabby,Rainbow",6-8 years,Daily,"Finance, payments and transfers,DeFi, lending, swaps, or staking,Work, salary or payroll",Very confident,"I rely on wallet security alerts and blocklists,I use separate wallets for different activities or counterparties,I rotate addresses or refresh accounts periodically",Using Ambire Wallet,"Personal safety and security,Avoid censorship and keep freedom to transact,Keep work and personal activity separate",Yes,No,Somewhat important,Somewhat satisfied,Somewhat confident,Somewhat confident,Some trust,"Clear website and language that explains what it does,Logical in-app UX with info and context,Referrals or endorsements from trusted people or orgs","Clear instructions and confirmation prompts,Simple explanation of risks, leaks and trade-offs,Transaction preview or simulation before sending",Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,I don't use much,Rarely,Never,Monthly,Daily,Daily,Weekly,Daily,Weekly,Daily,Daily,"Complex or hard to use,Missing in my wallet or favorite dapps,My activity does not feel sensitive enough",,Never,,"Losing funds or access,Targeted attacks, scams, or phishing,Tools breaking, being blocked, or delisted","Pay up to ~5% more in fees,Switching to a different network or L2,Using a separate wallet or account","I do not care where, I just want it to work","Public by default, option to go private",Somewhat important,Likely,"Private send in wallets,Private identity and attestations,Private L2s focused on privacy",,Better explanations and education on when privacy is needed,Private mempools ,
Marketing or Growth,Europe,Other,6-8 years,Daily,"DeFi, lending, swaps, or staking",Very confident,"I rely on wallet security alerts and blocklists,I review token approvals and revoke them regularly,I use a hardware wallet as my primary signer,I use a multisig or smart account","It means freedom, i dont wanna dont want to see my things public in the open.","Personal safety and security,Avoid profiling, doxxing, or unwanted linking,Keep work and personal activity separate",Yes,Yes,Important,Somewhat satisfied,Confident,Somewhat confident,Trust,"Logical in-app UX with info and context,Clear docs on how it works, architecture, and trade-offs,Transparent team identity and track record","Clear instructions and confirmation prompts,Simple explanation of risks, leaks and trade-offs,Transaction preview or simulation before sending",Monthly,Monthly,Never,Never,Never,Never,Monthly,Rarely,Rarely,Railgun only for now,Daily,Weekly,Daily,Daily,Daily,Monthly,Daily,Daily,Daily,Daily,"Complex or hard to use,Missing in my wallet or favorite dapps,Too few people use it, so privacy feels weak",,Rarely,"Too many steps or signatures,Fees or deposits required up front,Took too long or got stuck","Losing funds or access,Targeted attacks, scams, or phishing","Wait up to a few minutes longer,Using a separate wallet or account,Lower compatibility with some dapps or tools",On Ethereum itself,"Public by default, option to go private",Very important,Likely,"Private send in wallets,Private governance and voting",,Getting privacy tools integrated in wallet and offer better UX compared to eg today's Railwallet.,"Light client, private transfers.",
Education,Oceania,"MetaMask,Coinbase wallet,Rainbow",6-8 years,Daily,"Finance, payments and transfers,NFTs, art, collectibles, memberships, etc.,Identity, like ENS, Passports, etc.",Confident,"I review gas, nonce, and permissions before confirming,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I use a hardware wallet as my primary signer",Freedom,Personal safety and security,No,No,Important,Not at all satisfied,Very confident,Somewhat confident,Some trust,"Clear website and language that explains what it does,Widely used in production and time-tested,Open-source code","Clear instructions and confirmation prompts,Simple explanation of risks, leaks and trade-offs,Transaction preview or simulation before sending",Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,,Daily,Monthly,Monthly,Daily,Weekly,Never,Daily,Daily,Never,Never,"Complex or hard to use,I want onchain reputation or eligibility (airdrops, social graph),Other",How to easily do taxes,Often,"Too many steps or signatures,Unclear what the benefits were,Needed new wallet/account or setup I didn’t want","Losing funds or access,Targeted attacks, scams, or phishing,Contract exploits or protocol hacks","Pay up to ~5% more in fees,Wait up to a few minutes longer,Switching to a different network or L2",In my wallet,"Private by default, option to share",Very important,Likely,"Private send in wallets,Private stablecoins",,Make doing taxes easier,,
Ethereum user,Oceania,Rabby,3-5 years,Daily,"Finance, payments and transfers,DeFi, lending, swaps, or staking,Work, salary or payroll",Very confident,"I rely on wallet security alerts and blocklists,I review gas, nonce, and permissions before confirming,I review token approvals and revoke them regularly,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses",It is literally a basic thing like air. ,"Personal safety and security,Avoid profiling, doxxing, or unwanted linking,Keep work and personal activity separate",Yes,Yes,Very important,Somewhat satisfied,Very confident,Somewhat confident,Trust,"Clear website and language that explains what it does,Clear docs on how it works, architecture, and trade-offs,Verifiable releases and contracts, reproducible builds, and clear changelogs",Clear instructions and confirmation prompts,Weekly,Weekly,Monthly,Never,Never,Monthly,Never,Never,Rarely,Privacy pools and railgun,Weekly,,Daily,Daily,Monthly,Daily,Daily,Daily,Daily,Daily,"Complex or hard to use,High gas or transaction costs,Doesn’t work the same across apps or chains",,Often,"Too many steps or signatures,Unclear what the benefits were,Unsure the tool was safe or trustworthy","Losing funds or access,Targeted attacks, scams, or phishing,Permanent onchain records that cannot be undone","Wait up to a few minutes longer,Switching to a different network or L2,Withdrawal delays up to 1 day","I do not care where, I just want it to work","Private by default, option to share",Very important,Very unlikely,"Private send in wallets,Privacy-preserving RPC and network routing,Encrypted mempools or private order flow",,Na,"Privacy pools, railgun, kohaku",Can u publish this survey result
Other,Europe,"MetaMask,Rabby,Coinbase wallet",6-8 years,Weekly,"Finance, payments and transfers,NFTs, art, collectibles, memberships, etc.,Identity, like ENS, Passports, etc.",Confident,"I review gas, nonce, and permissions before confirming,I review token approvals and revoke them regularly,I use a multisig or smart account","safe virtual-physical interactions, obfuscation of private activities, protection against malevolent actors","Personal safety and security,Prevent targeting, scams, or front-running,Avoid censorship and keep freedom to transact",Yes,No,Somewhat important,Not at all satisfied,Not at all confident,Not at all confident,Some trust,"Referrals or endorsements from trusted people or orgs,Transparent team identity and track record,Open-source code","Simple explanation of risks, leaks and trade-offs,Transaction preview or simulation before sending,Proofs or logs you can copy or share if you need to prove something later",Never,Never,Never,Monthly,Rarely,Rarely,Rarely,Monthly,Never,"ZK L2, Cloudflare ETH RPC, Rabby Wallet features",Never,Never,Daily,Monthly,Never,Rarely,Daily,Rarely,Monthly,Rarely,"Security concerns,My activity does not feel sensitive enough,I want onchain reputation or eligibility (airdrops, social graph)",,Sometimes,"Unclear what the benefits were,Unsure the tool was safe or trustworthy","Targeted attacks, scams, or phishing,Physical targeting or extortion risk,Government or big-tech surveillance and misuse of data","2–3 extra confirmations or screens,Switching to a different network or L2,Withdrawal delays up to 1 day",Inside the app I am using,"Private by default, option to share",Very important,Likely,"Private send in wallets,Privacy risk and monitoring dashboards,Verifiable in-App privacy labels, audits, and reputation badges",,"Choose what digital information (wallet, location, time, tools) to send out when executing public transactions",ZK-encrypted rollups,A public code repository of apps and other onchain tools reputed for privacy (A sort of L2Beat for blockchain user interfaces)
Ethereum user,Europe,Other,3-5 years,Monthly,Running nodes or infrastructure,Somewhat confident,"I rely on wallet security alerts and blocklists,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I use a hardware wallet as my primary signer","To not be able to be tracked. Nobody wants open doors and windows in their apartment, so why do I need to have data leaks not under my control, where I can never shut the door?","Avoid profiling, doxxing, or unwanted linking,Avoid censorship and keep freedom to transact,Reduce data trails across apps and services",Yes,Yes,Very important,Not at all satisfied,Not at all confident,Not at all confident,No trust at all,"Open-source code,Independent audits,Strong security practices: active bug bounties, and policies","Clear instructions and confirmation prompts,Transaction preview or simulation before sending",Rarely,Rarely,Rarely,Never,Monthly,Never,Monthly,Never,Never,Shutter snapshot dao voting,Monthly,Rarely,Daily,Never,Never,Daily,Daily,Monthly,Never,Never,"Regulatory or policy uncertainty,Hard to verify what is private,Security concerns",,Never,,"Losing funds or access,Targeted attacks, scams, or phishing,Contract exploits or protocol hacks","Pay up to ~5% more in fees,Wait up to a few minutes longer,2–3 extra confirmations or screens",On Ethereum itself,"Private by default, option to share",Very important,Very likely,"Private send in wallets,Privacy-preserving RPC and network routing,Verifiable in-App privacy labels, audits, and reputation badges",,build it into the core of Ethereum,the one hopefully changing the game - maybe in the zk game,
Developer,Europe,MetaMask,6-8 years,Monthly,"Work, salary or payroll,Education and learning",Confident,"I rely on wallet security alerts and blocklists,I simulate or dry run transactions before sending,I use separate wallets for different activities or counterparties,I use a multisig or smart account",Ability to choose myself what I share,"Personal safety and security,Prevent targeting, scams, or front-running,Avoid social judgment or harassment",Yes,Yes,Somewhat important,Somewhat satisfied,Very confident,Confident,Trust,"Clear website and language that explains what it does,Referrals or endorsements from trusted people or orgs,Widely used in production and time-tested","Clear instructions and confirmation prompts,Simple explanation of risks, leaks and trade-offs,Transaction preview or simulation before sending",Rarely,Never,Rarely,Monthly,Never,Never,Never,Rarely,Never,Aztec for testing,Rarely,Rarely,Rarely,Daily,Never,Monthly,Daily,Daily,Never,Never,"Complex or hard to use,Regulatory or policy uncertainty",,Sometimes,"Unclear what it would do,Unsure the tool was safe or trustworthy","Losing funds or access,Legal or policy issues",Wait up to a few minutes longer,"I do not care where, I just want it to work","Public by default, option to go private",Somewhat important,Unlikely,Private messaging,,More and better tooling,ZKPassport,
Ethereum user,North America,Other,3-5 years,Daily,"Finance, payments and transfers,DeFi, lending, swaps, or staking,Running nodes or infrastructure",Very confident,"I review token approvals and revoke them regularly,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I use a hardware wallet as my primary signer,I rotate addresses or refresh accounts periodically,I connect through my own node or a custom RPC","No trust, no backdoors","Personal safety and security,Keep balances, income, or holdings confidential,Avoid profiling, doxxing, or unwanted linking",Yes,Yes,Very important,Somewhat satisfied,Confident,Somewhat confident,Trust,"Clear docs on how it works, architecture, and trade-offs,Independent audits,Verifiable releases and contracts, reproducible builds, and clear changelogs","Simple explanation of risks, leaks and trade-offs,Linked audits or a security page,Linked verified contracts and release notes",Rarely,Rarely,Never,Rarely,Never,Never,Weekly,Never,Daily,,Daily,Rarely,Rarely,Monthly,Never,Monthly,Daily,Weekly,Weekly,Monthly,"Too few people use it, so privacy feels weak,Other",black box centralized verification provider,Sometimes,"Unclear what it would do,Fees or deposits required up front,Unsure the tool was safe or trustworthy","Physical targeting or extortion risk,Metadata leakage (IP, RPC, browser, mempool),Contract exploits or protocol hacks","Signing multiple transactions,Switching to a different network or L2,Withdrawal delays up to 1 day","I do not care where, I just want it to work","Private by default, option to share",Very important,Very likely,"Private send in wallets,Private L2s focused on privacy,Privacy-preserving RPC and network routing",,Add to base layer,AZTEC,Privacy pools are a non-starter with the centralized gatekeeper
Developer,South America,"Rabby,Uniswap wallet",1-2 years,Weekly,"Finance, payments and transfers,DeFi, lending, swaps, or staking,NFTs, art, collectibles, memberships, etc.",Confident,"I review gas, nonce, and permissions before confirming",Safety of operating in public without being traced,"Personal safety and security,Keep balances, income, or holdings confidential,Avoid profiling, doxxing, or unwanted linking",Yes,No,Somewhat important,Somewhat satisfied,Somewhat confident,Confident,Trust,"Clear website and language that explains what it does,Logical in-app UX with info and context,Widely used in production and time-tested","Clear instructions and confirmation prompts,Simple explanation of risks, leaks and trade-offs,Transaction preview or simulation before sending",Rarely,Rarely,Rarely,Never,Monthly,Rarely,Rarely,Rarely,Rarely,I don’t actively use onchain privacy tools today.,Daily,Rarely,Weekly,Daily,Never,Never,Daily,Weekly,Rarely,Rarely,"Hard to verify what is private,Security concerns,My activity does not feel sensitive enough",,Rarely,Unsure the tool was safe or trustworthy,"Losing funds or access,Targeted attacks, scams, or phishing,Tools breaking, being blocked, or delisted","Wait up to a few minutes longer,Using a separate wallet or account",In my wallet,"Public by default, option to go private",Somewhat important,Likely,"Private send in wallets,Private stablecoins,Private L2s focused on privacy",,"Make private transactions the default UX in wallets. If privacy didn’t require extra steps, special tooling, or social stigma, adoption would be easier.","I’m most excited about privacy for payments and identity, stealth addresses, private attestations, and tools that let users prove things without exposing their data.",
Developer,South America,MetaMask,Less than 1 year,Daily,"Finance, payments and transfers,NFTs, art, collectibles, memberships, etc.,Work, salary or payroll",Somewhat confident,"I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I use a hardware wallet as my primary signer,I rotate addresses or refresh accounts periodically",-,"Personal safety and security,Avoid profiling, doxxing, or unwanted linking,Prevent targeting, scams, or front-running",Yes,No,Important,Satisfied,Confident,Somewhat confident,Some trust,"Clear docs on how it works, architecture, and trade-offs,Referrals or endorsements from trusted people or orgs,Open-source code","Clear instructions and confirmation prompts,Simple explanation of risks, leaks and trade-offs,Linked verified contracts and release notes",Never,Never,Never,Never,Never,Never,Never,Never,Never,-,Weekly,Rarely,Daily,Daily,Rarely,Rarely,Daily,Weekly,Rarely,Rarely,"Complex or hard to use,Hard to verify what is private,Security concerns",,Never,,"Losing funds or access,Deanonymization later by chain analysis,Contract exploits or protocol hacks","Wait up to a few minutes longer,2–3 extra confirmations or screens,Lower compatibility with some dapps or tools","I do not care where, I just want it to work","Private by default, option to share",Very important,Likely,"Private send in wallets,Private stablecoins,Private identity and attestations",,-,,
Developer,Europe,MetaMask,3-5 years,Daily,"Finance, payments and transfers,DeFi, lending, swaps, or staking,Education and learning",Confident,"I rely on wallet security alerts and blocklists,I review gas, nonce, and permissions before confirming,I decode and read what I am signing,I simulate or dry run transactions before sending,I review token approvals and revoke them regularly,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I rotate addresses or refresh accounts periodically,I use a multisig or smart account",non negotiable ,"Personal safety and security,Keep balances, income, or holdings confidential,Avoid profiling, doxxing, or unwanted linking",Yes,Yes,Very important,Not at all satisfied,Confident,Somewhat confident,Some trust,"Clear docs on how it works, architecture, and trade-offs,Open-source code,Verifiable releases and contracts, reproducible builds, and clear changelogs","Simple explanation of risks, leaks and trade-offs,Linked verified contracts and release notes,Proofs or logs you can copy or share if you need to prove something later",Monthly,Rarely,Monthly,Weekly,Never,Rarely,Weekly,Never,Daily,privacy pools,Daily,Monthly,Daily,Daily,Monthly,Monthly,Daily,Daily,Daily,Monthly,"Regulatory or policy uncertainty,Too few people use it, so privacy feels weak,Security concerns",,Sometimes,"Unclear what it would do,Unclear what the benefits were,Unsure the tool was safe or trustworthy","Losing funds or access,Deanonymization later by chain analysis,Contract exploits or protocol hacks","Pay up to ~5% more in fees,2–3 extra confirmations or screens,Fixed deposit/withdrawal sizes",On Ethereum itself,"Private by default, option to share",Very important,Likely,"Private send in wallets,Private stablecoins,Privacy-preserving RPC and network routing",,benis,,
Marketing or Growth,South Asia,MetaMask,3-5 years,Daily,"DeFi, lending, swaps, or staking",Somewhat confident,I use separate wallets for different activities or counterparties,Railgun ,,No,Yes,Very important,Very satisfied,Very confident,Very confident,Trust,Other,Proofs or logs you can copy or share if you need to prove something later,Daily,Monthly,Monthly,Daily,Monthly,Monthly,Monthly,Weekly,Monthly,,Daily,,Monthly,Monthly,Daily,,Monthly,,,,"Too few people use it, so privacy feels weak,Hard to verify what is private,My activity does not feel sensitive enough",,Sometimes,"Fees or deposits required up front,Unsure the tool was safe or trustworthy,Took too long or got stuck","Targeted attacks, scams, or phishing",Pay up to ~5% more in fees,In my wallet,"Public by default, option to go private",Important,Very likely,"Private send in wallets,Private stablecoins",,Railgun,Railgun,Railgun
Developer,Europe,"MetaMask,Argent,Gnosis Safe",9+ years,Daily,"Finance, payments and transfers,Identity, like ENS, Passports, etc.,Running nodes or infrastructure",Not at all confident,"I review gas, nonce, and permissions before confirming,I decode and read what I am signing,I review token approvals and revoke them regularly,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I use a hardware wallet as my primary signer,I rotate addresses or refresh accounts periodically,I connect through my own node or a custom RPC,I use a multisig or smart account",,"Personal safety and security,Avoid profiling, doxxing, or unwanted linking,Prevent targeting, scams, or front-running",Yes,Yes,Somewhat important,Not at all satisfied,Somewhat confident,Somewhat confident,Some trust,"Open-source code,Independent audits,Verifiable releases and contracts, reproducible builds, and clear changelogs","Transaction preview or simulation before sending,Linked verified contracts and release notes,Proofs or logs you can copy or share if you need to prove something later",Rarely,Rarely,Monthly,Rarely,Never,Rarely,Rarely,Never,Weekly,Mixers,Daily,Rarely,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,"Regulatory or policy uncertainty,Hard to verify what is private,My activity does not feel sensitive enough",,Sometimes,"Too many steps or signatures,Unclear what it would do,Took too long or got stuck","Losing funds or access,Targeted attacks, scams, or phishing,Contract exploits or protocol hacks","Pay up to ~5% more in fees,Using a separate wallet or account,Lower compatibility with some dapps or tools",In my wallet,"Private by default, option to share",Somewhat important,Very likely,"Private send in wallets,Private identity and attestations,Privacy-preserving RPC and network routing",,"Shielded balances by default (similar to Zcash's Sapling), view keys for selective disclosure (auditors, tax, compliance), public transactions as the explicit choice",,
Ethereum user,North America,"MetaMask,Rabby,Coinbase wallet",3-5 years,Daily,"Finance, payments and transfers,DeFi, lending, swaps, or staking,DAOs and governance",Somewhat confident,"I rely on wallet security alerts and blocklists,I review gas, nonce, and permissions before confirming,I review token approvals and revoke them regularly",Safety from bad actors targeting one entity ,"Personal safety and security,Avoid profiling, doxxing, or unwanted linking,Avoid censorship and keep freedom to transact",Yes,Yes,Very important,Somewhat satisfied,Somewhat confident,Somewhat confident,Some trust,"Clear docs on how it works, architecture, and trade-offs,Referrals or endorsements from trusted people or orgs,Widely used in production and time-tested","Simple explanation of risks, leaks and trade-offs,Linked audits or a security page,Trusted badge or reputation labels",Monthly,Monthly,Monthly,Monthly,Monthly,Daily,Daily,Weekly,Monthly,"Railgun , vpn , etc",Weekly,Weekly,Monthly,Monthly,Monthly,Daily,Daily,Monthly,Never,Rarely,"Complex or hard to use,Missing in my wallet or favorite dapps,I want onchain reputation or eligibility (airdrops, social graph)",,Sometimes,"Too many steps or signatures,Unclear what it would do,Unclear what the benefits were","Government or big-tech surveillance and misuse of data,Permanent onchain records that cannot be undone,Contract exploits or protocol hacks","Wait up to a few minutes longer,2–3 extra confirmations or screens,Signing multiple transactions","I do not care where, I just want it to work","Private by default, option to share",Very important,Very likely,"Private stablecoins,Private identity and attestations,Private governance and voting",,"More obvious stack of Accepted privacy preserving tools, easily accessible",Signal . Some ZK projects ,Would love to learn more about: [redacted]
